pdf,page,text,context,layout,text_source,class,label_source,confidence,needs_review,proposed_reason
formul.pdf,1,Та + 7HF – 5е = [TaF_{7}]^{2–} + 7Н^{+} 3 5 NO_{3}^{−} + 4Н^{+} + 3е = NO + 2Н_{2}О,"Подберем коэффициенты методом полурекакций: Проставим коэффициенты в молекулярное уравнение: 3Та + 21HF + 5HNO_{3} = 3H_{2}[TaF_{7}] + 5NO + 10H_{2}O. Сумма коэффициентов в правой части уравнения реакции 18. 3. Уравнение реакции магнийтермического восстановления тетра- хлорида титана: TiCl_{4(ж)} + 2Mg_{(т)} = Ti_{(т)} + 2MgCl_{2(т)}. Используя следствие из закона Гесса, рассчитаем энтальпию ре- акции: ΔH° = 2Δ_{f}H°(MgCl_{2(т)}) – Δ_{f}H°(TiCl_{4(ж)}) = 2(–641) – (–804) = –478 кДж.","{""lines_latex"": [""Та + 7HF – 5е = [TaF_{7}]^{2–} + 7Н^{+} 3"", ""5"", ""NO_{3}^{−} + 4Н^{+} + 3е = NO + 2Н_{2}О""], ""lines_plain"": [""Та + 7HF – 5е = [TaF7]2− + 7Н+ 3"", ""5"", ""NO3− + 4Н+ + 3е = NO + 2Н2О""], ""text_plain"": ""Та + 7HF – 5е = [TaF7]2− + 7Н+ 3 5 NO3− + 4Н+ + 3е = NO + 2Н2О"", ""font_size"": 11.016099999999938, ""n_subscript"": 3, ""n_superscript"": 5, ""math_font_ratio"": 0.023255813953488372, ""italic_ratio"": 0.0, ""fonts"": {""TT1B91Fo00"": 8, ""Times-Roman"": 32, ""TT1BBFDo00"": 2, ""Symbol"": 1}, ""cid_artifacts"": 0}",text_layer,chemistry,грамматика,1.0,0,
formul.pdf,1,TiCl_{4(ж)} + 2Mg_{(т)} = Ti_{(т)} + 2MgCl_{2(т)}.,"Проставим коэффициенты в молекулярное уравнение: 3Та + 21HF + 5HNO_{3} = 3H_{2}[TaF_{7}] + 5NO + 10H_{2}O. Сумма коэффициентов в правой части уравнения реакции 18. 3. Уравнение реакции магнийтермического восстановления тетра- хлорида титана: Используя следствие из закона Гесса, рассчитаем энтальпию ре- акции: ΔH° = 2Δ_{f}H°(MgCl_{2(т)}) – Δ_{f}H°(TiCl_{4(ж)}) = 2(–641) – (–804) = –478 кДж. 4. Выход реакции рассчитывается как отношение «массы практи- ческой» m_{практ} продукта реакции, т.е. массы реально полученного продукта, к «массе теоретической» m_{теор}, вычисленной по уравнению реакции: w=\frac{m_{практ}}{m_{теор}}⋅100 %. Масса практическая m_{практ}(V_{2}O_{5}) по условию задачи равна 450 г, m_{теор}(V_{2}O_{5}) вычислим, зная массу исходного вещества NH_{4}VO_{3}, на основе уравнения реакции","{""lines_latex"": [""TiCl_{4(ж)} + 2Mg_{(т)} = Ti_{(т)} + 2MgCl_{2(т)}.""], ""lines_plain"": [""TiCl_{4(ж)} + 2Mg_{(т)} = Ti_{(т)} + 2MgCl_{2(т)}.""], ""text_plain"": ""TiCl_{4(ж)} + 2Mg_{(т)} = Ti_{(т)} + 2MgCl_{2(т)}."", ""font_size"": 11.016099999999994, ""n_subscript"": 14, ""n_superscript"": 0, ""math_font_ratio"": 0.0, ""italic_ratio"": 0.0, ""fonts"": {""Times-Roman"": 28, ""TT1BAAAo00"": 4}, ""cid_artifacts"": 0}",text_layer,chemistry,грамматика,1.0,0,
formul.pdf,1,ΔH° = 2Δ_{f}H°(MgCl_{2(т)}) – Δ_{f}H°(TiCl_{4(ж)}) = 2(–641) – (–804) = –478 кДж.,"TiCl_{4(ж)} + 2Mg_{(т)} = Ti_{(т)} + 2MgCl_{2(т)}. Используя следствие из закона Гесса, рассчитаем энтальпию ре- акции: 4. Выход реакции рассчитывается как отношение «массы практи- ческой» m_{практ} продукта реакции, т.е. массы реально полученного продукта, к «массе теоретической» m_{теор}, вычисленной по уравнению реакции: w=\frac{m_{практ}}{m_{теор}}⋅100 %. Масса практическая m_{практ}(V_{2}O_{5}) по условию задачи равна 450 г, m_{теор}(V_{2}O_{5}) вычислим, зная массу исходного вещества NH_{4}VO_{3}, на основе уравнения реакции 2NH_{4}VO_{3} = V_{2}O_{5} + 2NH_{3} + Н_{2}О. Определим количество вещества NH_{4}VO_{3}:","{""lines_latex"": [""ΔH° = 2Δ_{f}H°(MgCl_{2(т)}) – Δ_{f}H°(TiCl_{4(ж)}) = 2(–641) – (–804) = –478 кДж.""], ""lines_plain"": [""ΔH° = 2Δ_{f}H°(MgCl_{2(т)}) – Δ_{f}H°(TiCl_{4(ж)}) = 2(–641) – (–804) = –478 кДж.""], ""text_plain"": ""ΔH° = 2Δ_{f}H°(MgCl_{2(т)}) – Δ_{f}H°(TiCl_{4(ж)}) = 2(–641) – (–804) = –478 кДж."", ""font_size"": 11.016099999999994, ""n_subscript"": 10, ""n_superscript"": 0, ""math_font_ratio"": 0.10344827586206896, ""italic_ratio"": 0.05172413793103448, ""fonts"": {""Symbol"": 6, ""Times-Italic"": 3, ""Times-Roman"": 44, ""TT1BAAAo00"": 2, ""TT1B91Fo00"": 3}, ""cid_artifacts"": 0}",text_layer,chemistry,подтверждено,0.999,0,"энтальпия реакции по закону Гесса, аргументы — химические соединения"
formul.pdf,1,w=\frac{m_{практ}}{m_{теор}}⋅100 %.,"ΔH° = 2Δ_{f}H°(MgCl_{2(т)}) – Δ_{f}H°(TiCl_{4(ж)}) = 2(–641) – (–804) = –478 кДж. 4. Выход реакции рассчитывается как отношение «массы практи- ческой» m_{практ} продукта реакции, т.е. массы реально полученного продукта, к «массе теоретической» m_{теор}, вычисленной по уравнению реакции: Масса практическая m_{практ}(V_{2}O_{5}) по условию задачи равна 450 г, m_{теор}(V_{2}O_{5}) вычислим, зная массу исходного вещества NH_{4}VO_{3}, на основе уравнения реакции 2NH_{4}VO_{3} = V_{2}O_{5} + 2NH_{3} + Н_{2}О. Определим количество вещества NH_{4}VO_{3}: n_{NH4VO3} =\frac{m}{M}=\frac{702 г}{117 г/моль}=6 моль. Количество вещества V_{2}O_{5} в соответствии с коэффициентами уравнения реакции в два раза меньше и составляет 3 моль. Найдем m_{теор}(V_{2}O_{5}) и рассчитаем выход реакции:","{""lines_latex"": [""w=\\frac{m_{практ}}{m_{теор}}⋅100 %.""], ""lines_plain"": [""w=(m_{практ})/(m_{теор})⋅100 %.""], ""text_plain"": ""w=(m_{практ})/(m_{теор})⋅100 %."", ""font_size"": 11.012499999999989, ""n_subscript"": 0, ""n_superscript"": 0, ""math_font_ratio"": 0.2222222222222222, ""italic_ratio"": 0.1111111111111111, ""fonts"": {""Times-Italic"": 1, ""Symbol"": 2, ""synthetic"": 1, ""Times-Roman"": 5}, ""cid_artifacts"": 0}",text_layer,chemistry,подтверждено,0.999,0,выход реакции: отношение практической массы продукта к теоретической
formul.pdf,1,2NH_{4}VO_{3} = V_{2}O_{5} + 2NH_{3} + Н_{2}О.,"w=\frac{m_{практ}}{m_{теор}}⋅100 %. Масса практическая m_{практ}(V_{2}O_{5}) по условию задачи равна 450 г, m_{теор}(V_{2}O_{5}) вычислим, зная массу исходного вещества NH_{4}VO_{3}, на основе уравнения реакции Определим количество вещества NH_{4}VO_{3}: n_{NH4VO3} =\frac{m}{M}=\frac{702 г}{117 г/моль}=6 моль. Количество вещества V_{2}O_{5} в соответствии с коэффициентами уравнения реакции в два раза меньше и составляет 3 моль. Найдем m_{теор}(V_{2}O_{5}) и рассчитаем выход реакции: m_{теор} =nM =3 моль⋅182г/моль=546 г; w=\frac{450 г}{546 г}⋅100=82,4 %. 133","{""lines_latex"": [""2NH_{4}VO_{3} = V_{2}O_{5} + 2NH_{3} + Н_{2}О.""], ""lines_plain"": [""2NH4VO3 = V2O5 + 2NH3 + Н2О.""], ""text_plain"": ""2NH4VO3 = V2O5 + 2NH3 + Н2О."", ""font_size"": 11.012499999999989, ""n_subscript"": 6, ""n_superscript"": 0, ""math_font_ratio"": 0.0, ""italic_ratio"": 0.0, ""fonts"": {""Times-Roman"": 20, ""TT1B91Fo00"": 2}, ""cid_artifacts"": 0}",text_layer,chemistry,грамматика,1.0,0,
formul.pdf,1,n_{NH4VO3} =\frac{m}{M}=\frac{702 г}{117 г/моль}=6 моль.,"2NH_{4}VO_{3} = V_{2}O_{5} + 2NH_{3} + Н_{2}О. Определим количество вещества NH_{4}VO_{3}: Количество вещества V_{2}O_{5} в соответствии с коэффициентами уравнения реакции в два раза меньше и составляет 3 моль. Найдем m_{теор}(V_{2}O_{5}) и рассчитаем выход реакции: m_{теор} =nM =3 моль⋅182г/моль=546 г; w=\frac{450 г}{546 г}⋅100=82,4 %. 133","{""lines_latex"": [""n_{NH4VO3} =\\frac{m}{M}=\\frac{702 г}{117 г/моль}=6 моль.""], ""lines_plain"": [""n_{NH4VO3} =(m)/(M)=(702 г)/(117 г/моль)=6 моль.""], ""text_plain"": ""n_{NH4VO3} =(m)/(M)=(702 г)/(117 г/моль)=6 моль."", ""font_size"": 11.08590000000001, ""n_subscript"": 6, ""n_superscript"": 0, ""math_font_ratio"": 0.16666666666666666, ""italic_ratio"": 0.05555555555555555, ""fonts"": {""Times-Italic"": 1, ""Times-Roman"": 8, ""Symbol"": 3, ""synthetic"": 2, ""TT1BCADo00"": 4}, ""cid_artifacts"": 0}",text_layer,chemistry,подтверждено,1.0,0,количество вещества через молярную массу
formul.pdf,1,"m_{теор} =nM =3 моль⋅182г/моль=546 г; w=\frac{450 г}{546 г}⋅100=82,4 %.",n_{NH4VO3} =\frac{m}{M}=\frac{702 г}{117 г/моль}=6 моль. Количество вещества V_{2}O_{5} в соответствии с коэффициентами уравнения реакции в два раза меньше и составляет 3 моль. Найдем m_{теор}(V_{2}O_{5}) и рассчитаем выход реакции: 133,"{""lines_latex"": [""m_{теор} =nM =3 моль⋅182г/моль=546 г;"", ""w=\\frac{450 г}{546 г}⋅100=82,4 %.""], ""lines_plain"": [""m_{теор} =nM =3 моль⋅182г/моль=546 г;"", ""w=(450 г)/(546 г)⋅100=82,4 %.""], ""text_plain"": ""m_{теор} =nM =3 моль⋅182г/моль=546 г; w=(450 г)/(546 г)⋅100=82,4 %."", ""font_size"": 11.003799999999998, ""n_subscript"": 4, ""n_superscript"": 0, ""math_font_ratio"": 0.1689033189033189, ""italic_ratio"": 0.08744588744588744, ""fonts"": {""Times-Italic"": 4, ""TT1BCB0o00"": 4, ""Symbol"": 7, ""Times-Roman"": 17, ""TT1BCB1o00"": 10, ""synthetic"": 2}, ""cid_artifacts"": 0}",text_layer,chemistry,подтверждено,1.0,0,масса по количеству вещества и выход реакции в процентах
formula2.pdf,1,H_{2} + \frac{1}{2}O_{2} = H_{2}O_{(ж)},"составляет 0,0063 а. е. м. в расчёте на одно ядро H. Р е ш е н и е. Найдём теплоту сгорания водорода. Из 1 моль (2 г) водорода в результате реакции образуется 1 моль H_{2}O_{(ж)} и выделяется 286 кДж. Удельная теплота сгорания H_{2} составляет 143 кДж/г. Оценим энергию ядерной реакции. Из условия следует, что дефект массы в расчёте на 1 г ядер H составляет 0,0063 г. Для расчёта энергии, соответствующей этой массе, используем формулу Эйнштейна E = mc^{2}. Все величины представим в си- стеме СИ: E = 0,0063 · 10^{−3} кг · (3 · 10^{8} м/с)^{2} = = 6,3 · 10^{−6} · 9 · 10^{16} ≈ 60 · 10^{10} = 6 · 10^{11} Дж = = 6 · 10^{8} кДж. Эта энергия больше удельной энергии сгорания молекулярно- го водорода в \frac{6 · 10^{8}}{143} = \frac{600}{143} · 10^{6} ≈ \frac{600}{150} · 10^{6} = 4 · 10^{6} раз.","{""lines_latex"": [""H_{2} + \\frac{1}{2}O_{2} = H_{2}O_{(ж)}""], ""lines_plain"": [""H2 + (1)/(2)O2 = H2O_{(ж)}""], ""text_plain"": ""H2 + (1)/(2)O2 = H2O_{(ж)}"", ""font_size"": 10.660000000000025, ""n_subscript"": 6, ""n_superscript"": 0, ""math_font_ratio"": 0.0, ""italic_ratio"": 0.0, ""fonts"": {""SchoolBookC"": 10, ""CMR10"": 2, ""synthetic"": 1}, ""cid_artifacts"": 0}",text_layer,chemistry,подтверждено,1.0,0,уравнение горения водорода; грамматика не поймала из-за дробного коэффициента
formula2.pdf,1,"E = 0,0063 · 10^{−3} кг · (3 · 10^{8} м/с)^{2} = = 6,3 · 10^{−6} · 9 · 10^{16} ≈ 60 · 10^{10} = 6 · 10^{11} Дж = = 6 · 10^{8} кДж.","образуется 1 моль H_{2}O_{(ж)} и выделяется 286 кДж. Удельная теплота сгорания H_{2} составляет 143 кДж/г. Оценим энергию ядерной реакции. Из условия следует, что дефект массы в расчёте на 1 г ядер H составляет 0,0063 г. Для расчёта энергии, соответствующей этой массе, используем формулу Эйнштейна E = mc^{2}. Все величины представим в си- стеме СИ: Эта энергия больше удельной энергии сгорания молекулярно- го водорода в \frac{6 · 10^{8}}{143} = \frac{600}{143} · 10^{6} ≈ \frac{600}{150} · 10^{6} = 4 · 10^{6} раз. Более точный расчёт см. в задаче 22 из § 2 гл. 2. На основе этих расчётов можно предположить, что энергии ядерных и химических реакций отличаются на 6 порядков. О т в е т. В 4 млн раз.","{""lines_latex"": [""E = 0,0063 · 10^{−3} кг · (3 · 10^{8} м/с)^{2} ="", ""= 6,3 · 10^{−6} · 9 · 10^{16} ≈ 60 · 10^{10} = 6 · 10^{11} Дж ="", ""= 6 · 10^{8} кДж.""], ""lines_plain"": [""E = 0,0063 · 10−3 кг · (3 · 108 м/с)2 ="", ""= 6,3 · 10−6 · 9 · 1016 ≈ 60 · 1010 = 6 · 1011 Дж ="", ""= 6 · 108 кДж.""], ""text_plain"": ""E = 0,0063 · 10−3 кг · (3 · 108 м/с)2 = = 6,3 · 10−6 · 9 · 1016 ≈ 60 · 1010 = 6 · 1011 Дж = = 6 · 108 кДж."", ""font_size"": 10.659999999999997, ""n_subscript"": 0, ""n_superscript"": 13, ""math_font_ratio"": 0.20833333333333334, ""italic_ratio"": 0.16666666666666666, ""fonts"": {""SchoolBookC-MathItalic"": 12, ""CMR10"": 6, ""SchoolBookC"": 51, ""CMSY7"": 2, ""CMSY10"": 1}, ""cid_artifacts"": 0}",text_layer,physics,подтверждено,0.999,0,"ИСПРАВЛЕНИЕ модели: E=mc² по дефекту массы, ядерная физика, а не химия"
formula2.pdf,1,\frac{6 · 10^{8}}{143} = \frac{600}{143} · 10^{6} ≈ \frac{600}{150} · 10^{6} = 4 · 10^{6} раз.,"E = 0,0063 · 10^{−3} кг · (3 · 10^{8} м/с)^{2} = = 6,3 · 10^{−6} · 9 · 10^{16} ≈ 60 · 10^{10} = 6 · 10^{11} Дж = = 6 · 10^{8} кДж. Эта энергия больше удельной энергии сгорания молекулярно- го водорода в Более точный расчёт см. в задаче 22 из § 2 гл. 2. На основе этих расчётов можно предположить, что энергии ядерных и химических реакций отличаются на 6 порядков. О т в е т. В 4 млн раз.","{""lines_latex"": [""\\frac{6 · 10^{8}}{143} = \\frac{600}{143} · 10^{6} ≈ \\frac{600}{150} · 10^{6} = 4 · 10^{6} раз.""], ""lines_plain"": [""(6 · 108)/(143) = (600)/(143) · 106 ≈ (600)/(150) · 106 = 4 · 106 раз.""], ""text_plain"": ""(6 · 108)/(143) = (600)/(143) · 106 ≈ (600)/(150) · 106 = 4 · 106 раз."", ""font_size"": 10.659999999999997, ""n_subscript"": 0, ""n_superscript"": 3, ""math_font_ratio"": 0.17391304347826086, ""italic_ratio"": 0.13043478260869565, ""fonts"": {""synthetic"": 3, ""CMR10"": 2, ""SchoolBookC-MathItalic"": 3, ""SchoolBookC"": 14, ""CMSY10"": 1}, ""cid_artifacts"": 0}",text_layer,math,подтверждено,0.998,0,ИСПРАВЛЕНИЕ модели: чистая арифметика — во сколько раз одна энергия больше другой
